Index	higherClassification
Plants	.*?\|Bicarpellites\|.*?
Viruses	.*?\|Bicaudaviridae\|.*?
Protists	.*?\|Bicellum\|.*?
Ciliophora	.*?\|Biciliata\|(.*?\|)?Ciliophora\|.*?
Protists	.*?\|Biciliata\|$
Plants	.*?\|Bicoloria\|.*?
Protists	.*?\|Bicosoecophyceae\|.*?
Angiosperms	.*?\|Bignoniaceae\|.*?
Protists	.*?\|Bigyra\|.*?
Plants	.*?\|Biharisporites\|.*?
Animals	.*?\|Bilateralomorpha\|$
Animals	.*?\|Bilateria\|(.*?\|)?Gastrotricha\|.*?
Animals	.*?\|Bilateria\|(.*?\|)?Spiralia\|$
Animals	.*?\|Bilateria\|$
Animals	.*?\|Bilateria\|Chaetognatha\|.*?
